District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Ogółem R,Ogółem PR,Handel jarmarczny - hurt R,Handel jarmarczny - hurt PR,Handel jarmarczny - detal R,Handel jarmarczny - detal PR,Karty rejestracyjne R,Karty rejestracyjne PR
SIERADZKI,0.0,0.0,8.043326594944228,0.0,7.011795007736243,0.004962846373252261,0.14888539119756783,0.009925692746504521,15.204006993878039,0.014888539119756782,0.0,0.0,0.0,0.0,35.46964015688323,2.013434710683447
WIELUŃSKI,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,93.13405054167255,7.164157733974812,11.343249745460119,0.2985065722489505,183.8800485053535,14.626822040198574,288.35734879248616,22.089486346422337,0.0,0.0,0.0,0.0,656.1174458031932,23.582019207667088
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,89.92151277585482,6.917039444296526,10.951979120136166,0.28820997684568855,177.53734573694416,14.122288865438739,278.41083763293517,21.327538286580953,0.0,0.0,0.0,0.0,633.4855291068235,22.768588170809394
PRASKO-WARSZAWSKI,0.0,0.0,103.52413384847547,7.96339491142119,12.608708609750218,0.3318081213092163,204.39380272647722,16.258597944151596,320.52664518470294,24.553800976882005,0.0,0.0,0.0,0.0,729.3142506376573,26.212841583428087
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,25.42030283399713,1.9554079103074715,3.0960625246534965,0.08147532959614465,50.1888030312251,3.992291150211088,78.70516838987572,6.0291743901147035,0.0,0.0,0.0,0.0,179.08277445232594,6.436551038095427
BARANOWICKI,0.0,0.0,8.0,2.0,3.0,2.0,1.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,178.0,0.0
LIDZKI,0.0,0.0,1.967275554417883,0.0,0.0,0.0,0.0,0.0,1.967275554417883,0.0,0.0,0.0,0.0,0.0,26.23034072557177,1.967275554417883
NIEŚWIESKI,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,171.0,18.0
NOWOGRÓDZKI,0.0,0.0,4.033098876132716,1.0165494380663578,2.008274719033179,0.0,0.0,0.0,6.0413735951658945,1.0165494380663578,0.0,0.0,0.0,0.0,44.55440617522298,2.0
SŁONIMSKI,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,109.0,9.0
STOŁPECKI,0.0,0.0,3.966901123867285,1.9834505619336424,0.9917252809668212,0.0,0.0,0.0,4.958626404834106,1.9834505619336424,0.0,0.0,0.0,0.0,66.44559382477702,0.0
WOŁOŻYŃSKI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.0,0.0,1.1036484823774397,0.021277211038596797,0.04255442207719359,0.01418480735906453,0.07801644047485491,0.0,1.2242193449294883,0.035462018397661325,0.0,0.0,0.0,0.0,15.535667790631761,1.4298990516359238
BRZESKI (BRZEŚĆ N.BUG.),0.0,0.0,20.999999950062875,0.0,0.0,0.0,0.0,0.0,20.999999950062875,0.0,0.0,0.0,0.0,0.0,240.99999942659986,17.99999995714822
DROHICKI,0.0,0.0,5.987495787053243,0.0,0.0,0.0,0.9979159645088738,0.0,6.985411751562117,0.0,0.0,0.0,0.0,0.0,64.8645376930768,5.987495787053243
KOBRYŃSKI,0.0,0.0,6.000000050002719,1.0,0.0,0.0,0.0,0.0,6.000000050002719,1.0,0.0,0.0,0.0,0.0,56.00000057384073,1.0000000428594733
KOSZYRSKI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,4.0
ŁUNINIECKI,0.0,0.0,8.15596994024122,0.0,1.1225478101895312,0.0,0.0,0.0,9.278517750430753,0.0,0.0,0.0,0.0,0.0,168.96924177149901,18.06684426010338
PIŃSKI,0.0,0.0,13.856534272705535,0.0,10.877452189810468,0.0,0.0020840354911262644,0.0,24.73607049800713,0.0,0.0,0.0,0.0,0.0,86.16622053542417,5.945659952843377
PRUŻAŃSKI,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0
STOLIŃSKI,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,52.0,3.0
IWACEWICKI,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,68.0,6.0
BRODNICKI,0.0,0.0,21.706479250719514,1.0,8.146858200869142,0.0,4.146858200869141,2.0,34.0001956524578,3.0,0.0,0.0,0.0,0.0,38.756951948367025,2.2937164017382816
CHEŁMIŃSKI,0.0,0.0,3.1257104608234076,0.09355470444600533,1.2446053465741476,0.0,1.688990192692673,0.046777352223002666,6.059306000090228,0.140332056669008,0.0,0.0,0.0,0.0,16.56409934857709,6.770977308764422
CHOJNICKI,0.0,0.0,15.871808378770018,0.0,11.865433259449311,0.006893460434450329,7.020383671055788,0.0,34.75762530927512,0.006893460434450329,0.0,0.0,0.0,0.0,44.742379496511475,0.0
GRUDZIĄDZ (MIASTO),0.0,0.0,17.0,1.0,8.0,1.0,37.0,7.0,62.0,9.0,0.0,0.0,0.0,0.0,77.0,3.0
GRUDZIĄDZKI,0.0,0.0,1.9788590200031413,0.0,0.0,0.0,0.0,0.0,1.9788590200031413,0.0,0.0,0.0,0.0,0.0,19.788590200031415,0.0
KARTUSKI,0.0,0.0,0.0,0.0,1.9560589519507103,0.0,0.9780294759753552,0.0,2.9340884279260653,0.0,0.0,0.0,0.0,0.0,39.12117903901421,0.9780294759753552
