District,Total,1. All types of professional purchasing (total),a. Professional purchasing (agricultural products),b. Professional purchasing (livestock),c. Professional purchasing (plant and animal products),2. Food and colonial goods (exclusively),3. Food products along with non-food items (excluding wine and spirits),"4. Meat, fats, and meat products (exclusively)",5. Catering establishments with and without alcohol,"6. Wine, spirits, and beer (possibly with food and colonial goods)",7. Tobacco monopoly products,8. Textiles,"9. Textiles with clothing, haberdashery, garments, and footwear",10. Ready-made clothing and haberdashery,"11. Garments, garment parts, furs, and fur products",12. Footwear,13. Footwear with leather and shoemaking accessories,14. All types of leather and leather products (excluding footwear),"15. Machinery, tools, and technical goods (excluding agricultural)",16. Building materials and fuels,17. Furniture and all wooden products,"18. Iron, ironware, enameled and aluminum goods (possibly with other goods)","19. Kitchenware, porcelain, faience, glassware, window panes, and mirrors","20. Soap, candles, paints, gasoline, kerosene, mineral oils, lubricants (soap shops)","21. Musical, optical, surgical instruments, photographic equipment and accessories","22. Watchmaking, jewelry, and silver-plated products","23. Electrical equipment, radio equipment, and all lighting accessories",24. Pharmacies,"25. Pharmaceutical warehouses, perfumeries, and cosmetic shops","26. Rubber goods, oilcloth, linoleum, galoshes, tarpaulins, tires, inner tubes, etc.","27. Bookstores, stationery, and paper products (possibly with other goods)","28. Agricultural machinery, tools, and goods",29. Agricultural-commercial syndicates and cooperatives,"30. Banks, exchange offices, and other short- and long-term credit institutions","31. Forwarding, transport, and communication enterprises","32. Other service enterprises (reading rooms, clinics, laundries, bathhouses, garages, dance halls, etc.)","33. Hotels, boarding houses, furnished rooms, lodging houses","34. Theaters, cinemas, and other performances",35. Insurance companies,"36. Offices: commission, trade brokerage, advertising, legal advice, agency, technical, etc.",37. Other enterprises not listed above,38. Cards with no industry/branch specified,ZP. Industrial activities
AUGUSTOWSKI,349.0,19.0,15.0,1.0,2.0,79.0,69.0,27.0,73.0,9.0,1.0,7.0,7.0,6.0,1.0,1.0,9.0,3.0,0.0,1.0,0.0,4.0,5.0,1.0,0.0,2.0,0.0,7.0,3.0,0.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0
BIAŁOSTOCKI,604.0,3.0,1.0,0.0,2.0,158.0,140.0,47.0,79.0,19.0,10.0,27.0,14.0,10.0,2.0,5.0,5.0,8.0,0.0,5.0,1.0,10.0,2.0,5.0,0.0,0.0,0.0,10.0,6.0,0.0,2.0,1.0,1.0,0.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
BIELSKI (BIELSK PODLASKI),1022.0,41.0,29.0,2.0,7.0,382.0,105.0,111.0,98.0,17.0,13.0,36.0,23.0,34.0,7.0,9.0,11.0,15.0,1.0,8.0,8.0,24.0,10.0,7.0,0.0,0.0,1.0,14.0,11.0,0.0,15.0,4.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,5.0,1.0,3.0,0.0
GRODZIEŃSKI,1385.0,39.0,26.0,0.0,6.0,369.0,241.0,114.0,177.0,12.0,12.0,61.0,6.0,71.0,14.0,12.0,3.0,18.0,0.0,22.0,3.0,34.0,14.0,19.0,3.0,4.0,1.0,12.0,25.0,13.0,26.0,1.0,5.0,0.0,14.0,11.0,3.0,0.0,0.0,19.0,4.0,3.0,14.0
ŁOMŻYŃSKI,834.0351884502239,27.510621120812434,18.10637267248746,2.2694989655499826,4.0,248.17723396602474,99.44673293157472,76.53899793109997,111.45386750023738,14.13474948277499,5.0,24.538997931099964,12.269498965549982,33.70212422416249,11.13474948277499,10.702124224162487,10.567374741387496,7.702124224162487,4.0,17.134749482774993,5.0,25.241122155262453,8.567374741387496,13.13474948277499,0.0,7.0,0.5673747413874957,9.269498965549982,8.13474948277499,0.0,17.702124224162485,1.5673747413874957,1.5673747413874957,0.0,9.702124224162487,0.0,1.0,2.0,0.0,5.0,4.0,0.5673747413874957,2.5673747413874954
OSTROŁĘCKI,541.9648115497761,10.489378879187566,5.893627327512539,1.7305010344500174,2.0,186.82276603397526,70.55326706842528,17.461002068900036,91.54613249976262,3.8652505172250087,2.0,16.461002068900036,20.73050103445002,24.297875775837515,1.8652505172250087,3.297875775837513,6.432625258612505,8.297875775837513,0.0,6.865250517225009,1.0,17.758877844737547,7.432625258612505,1.8652505172250087,1.0,4.0,1.4326252586125043,7.730501034450017,3.8652505172250087,0.0,8.297875775837513,3.4326252586125046,2.4326252586125046,0.0,2.297875775837513,1.0,1.0,1.0,0.0,2.0,0.0,3.4326252586125046,0.43262525861250434
OSTROWSKI (OSTRÓW MAZOWIECKA),475.0,6.0,3.0,0.0,3.0,146.0,80.0,52.0,56.0,3.0,6.0,13.0,10.0,15.0,1.0,4.0,9.0,1.0,0.0,10.0,0.0,11.0,3.0,10.0,0.0,4.0,0.0,9.0,3.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,1.0
SOKÓLSKI,473.0,14.0,12.0,0.0,2.0,83.0,133.0,40.0,78.0,11.0,5.0,18.0,20.0,8.0,2.0,3.0,5.0,7.0,0.0,4.0,2.0,8.0,3.0,5.0,0.0,1.0,0.0,7.0,6.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
SUWALSKI,622.0,31.0,19.0,0.0,8.0,145.0,126.0,39.0,104.0,10.0,10.0,18.0,13.0,25.0,7.0,12.0,1.0,11.0,0.0,4.0,0.0,13.0,8.0,10.0,0.0,3.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,5.0,4.0,6.0,4.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),402.0,14.0,11.0,0.0,2.0,76.0,102.0,52.0,37.0,10.0,1.0,18.0,16.0,9.0,9.0,2.0,6.0,4.0,1.0,8.0,1.0,6.0,2.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0
WOŁKOWYSKI,729.0,32.0,27.0,0.0,2.0,206.0,103.0,70.0,89.0,8.0,7.0,37.0,16.0,13.0,10.0,11.0,9.0,6.0,0.0,9.0,0.0,22.0,7.0,5.0,0.0,4.0,1.0,11.0,13.0,0.0,11.0,0.0,4.0,0.0,6.0,1.0,4.0,0.0,0.0,1.0,1.0,12.0,2.0
WYSOKOMAZOWIECKI,542.0,18.0,9.0,1.0,7.0,130.0,106.0,57.0,66.0,14.0,7.0,31.0,14.0,10.0,2.0,4.0,13.0,5.0,0.0,10.0,1.0,11.0,2.0,7.0,0.0,0.0,0.0,6.0,3.0,0.0,5.0,3.0,4.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0
BIAŁYSTOK (MIASTO),1283.0,27.0,2.0,0.0,9.0,365.0,73.0,130.0,149.0,23.0,21.0,48.0,12.0,88.0,21.0,26.0,16.0,16.0,5.0,33.0,14.0,37.0,14.0,22.0,4.0,12.0,4.0,2.0,20.0,2.0,32.0,0.0,3.0,1.0,4.0,8.0,6.0,2.0,0.0,19.0,22.0,2.0,18.0
BĘDZIŃSKI,1768.0,25.0,5.0,3.0,6.0,418.0,394.0,245.0,183.0,15.0,31.0,63.0,13.0,69.0,37.0,30.0,31.0,2.0,4.0,21.0,14.0,29.0,12.0,23.0,2.0,6.0,1.0,13.0,10.0,0.0,24.0,13.0,1.0,0.0,9.0,3.0,1.0,3.0,1.0,7.0,9.0,6.0,1.0
CZĘSTOCHOWSKI,342.0,3.0,0.0,3.0,0.0,69.0,138.0,16.0,28.0,18.0,0.0,5.0,8.0,3.0,2.0,6.0,4.0,1.0,0.0,3.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
IŁŻECKI,504.14480023681165,14.049167262595631,10.039333810076505,0.0,0.009833452519126097,77.91451108427873,172.58017369862844,29.285170123054655,51.59984060366669,15.073750893893445,22.098334525191262,20.142585061527328,9.059000715114756,19.24091958671859,3.0540839888551936,6.059000715114757,4.014750178778689,3.088501072672135,0.014750178778689144,1.1671686928251437,2.0295003575573785,16.04425053633607,1.0344170838169413,2.127834882748639,0.02458363129781524,0.04425053633606743,2.014750178778689,9.034417083816942,2.0344170838169413,0.0,6.162251966565581,0.014750178778689144,1.0147501787786892,0.0,6.014750178778689,2.014750178778689,2.0,2.82613461463349e-18,0.0,2.0196669050382523,1.0147501787786892,1.0590007151147565,0.03441708381694133
JĘDRZEJOWSKI,383.2318025465197,13.006264933689721,6.005090258622898,3.000783116711215,4.000391558355608,50.040722068983186,130.09554023876825,19.01292142573505,23.01292142573505,10.004307141911683,18.00469870026729,19.00665649204533,4.004307141911683,9.002740908489253,2.0011746750668227,5.00156623342243,11.002740908489253,4.004307141911683,0.0003915583556075821,19.008614283823366,0.0007831167112151642,7.005090258622898,1.0011746750668227,4.00156623342243,0.0,1.0,0.0003915583556075821,7.002349350133645,3.0015662334224302,0.0,7.001174675066823,2.000783116711215,3.000783116711215,0.0,1.0035240252004682,0.0,2.0,1.0,0.0,3.0003915583556076,0.0,5.002349350133645,1.0007831167112151
KIELECKI,782.0,7.0,1.0,0.0,3.0,138.0,140.0,36.0,102.0,26.0,13.0,39.0,8.0,46.0,12.0,30.0,9.0,9.0,3.0,33.0,6.0,16.0,4.0,20.0,2.0,7.0,4.0,8.0,7.0,0.0,18.0,2.0,4.0,0.0,1.0,6.0,4.0,2.0,0.0,8.0,5.0,7.0,1.0
