District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce i kozy (sztuki)
GNIEZNO (MIASTO),549.4910643974189,150.65588077427506,215.8690508707171,251.5188899195534
KALISKI,17557.32835220135,44378.96207023801,14875.709804258138,3280.209940019223
KOLSKI,16685.0,39407.0,20933.0,2257.0
KONIŃSKI,28776.0,65202.0,27423.0,9194.0
TURECKI,14661.634147896508,38452.459292006,14936.735030632884,1806.0860548979608
DOLIŃSKI,9468.042853448409,40811.76042688282,8608.451842400667,13932.899418127361
HORODEŃSKI,18847.0,21097.0,14845.0,17299.0
KAŁUSKI,9866.877065057894,31701.758228841234,9346.192429354005,3612.8545447632287
KOŁOMYJSKI,17236.715212416384,40751.365614816736,20195.062715712094,14087.916901992943
KOSOWSKI (KOSÓW HUCULSKI),6042.0,29933.0,12076.0,52742.0
NADWÓRNIAŃSKI,11969.386566192341,37753.056103413444,15359.42946774813,20701.25650992069
ROHATYŃSKI,20386.0,39683.0,17405.0,1749.0
STANISŁAWOWSKI,15375.316787806616,39327.8100070952,13352.13824939427,2161.165621038476
STRYJSKI,14001.374157207978,49223.17928562114,10810.167825351844,8704.495044931204
ŚNIATYŃSKI,9498.0,18599.0,10662.0,7389.0
TŁUMACKI,14919.491013500248,29565.914774268054,14283.971184299206,3089.196078573855
ŻYDACZOWSKI,10902.582989343613,28873.060287496042,8144.380332247489,317.6055369414355
BIELSKI (BIELSKO),2495.0,14768.0,8305.0,858.0
BIELSKO (MIASTO),230.0,106.0,72.0,10.0
CIESZYŃSKI,3571.0,23883.0,16108.0,4832.0
TARNOGÓRSKI,1115.0,3878.0,2530.0,2954.0
KATOWICE (MIASTO),1220.0,489.0,2004.0,1632.0
KATOWICKI,2075.0377450226765,1983.5353693531133,4247.481244790372,6733.787732069795
LUBLINIECKI,3668.0,14233.0,6819.0,1232.0
PSZCZYŃSKI,7616.0,35588.0,16244.0,4944.0
RYBNICKI,7273.0,30119.0,20219.0,11055.0
ŚWIĘTOCHŁOWICKI,1878.3449744673271,936.7381365669097,3569.731817727953,5939.815626879573
CHORZÓW,807.6172805099964,267.7264940799772,1191.7869374816753,1340.3966410506325
BORSZCZOWSKI,17647.1421427825,28002.22353765018,21667.048466883272,19458.3195688068
BRODZKI,15775.523801317575,33231.694462315296,28884.224674739486,6360.558889797042
BRZEŻAŃSKI,18189.14372583914,27364.63746652194,13757.972933309715,2764.0639852102513
BUCZACKI,20560.0,38601.0,14706.0,3633.0
CZORTKOWSKI,13677.994723087497,21724.019084140844,14480.531465940096,2748.069328952521
KAMIONECKI,14391.85074244877,26752.000341871902,18485.90371417794,1789.3334069609946
PODHAJECKI,16858.83558627058,28748.074502726475,12110.347980361803,1898.4209936238362
PRZEMYŚLAŃSKI,14499.0,28963.0,12543.0,910.0
RADZIECHOWSKI,14651.0,24362.0,25167.0,11673.0
SKAŁACKI,17484.08777648214,23043.893577674648,14374.250586512555,1437.327876239069
TARNOPOLSKI,23933.624075508567,34933.671213463305,18586.56812917818,1804.7305532502007
TREMBOWELSKI,14747.03590406107,22513.447424043366,12258.318437595875,757.1008901056789
ZALESZCZYCKI,11267.67400888109,15751.090098292745,10149.507885862356,12885.300699087387
ZBARASKI,16003.0,21012.0,11071.0,4673.0
ZBOROWSKI,15378.476198682425,26663.305537684708,17877.775325260514,2063.4411102029585
ZŁOCZOWSKI,17382.49564195969,34111.654434409786,19092.479926869888,2127.5016129562923
KOPYCZYNIECKI,15946.675412113931,26467.038367051817,17782.660067848443,1568.2764484350646
BŁOŃSKI,0.0,27895.0,11818.0,379.0
CIECHANOWSKI,16466.0,25200.0,12715.0,2204.0
GOSTYNIŃSKI,11993.0,31612.0,10857.0,2301.0
GRÓJECKI,21826.01663944392,49989.22921674409,31078.06943126779,3126.4111660612834
KUTNOWSKI,16376.0,39758.0,15811.0,2456.0
ŁOWICKI,16001.0,46329.0,14078.0,2570.0
MAKOWSKI (MAKÓW MAZOWIECKI),13635.0,27399.0,14499.0,2985.0
MIŃSKI,12478.0,31873.0,18337.0,1531.0
MŁAWSKI,17637.0,39021.0,13092.0,1603.0
PŁOCKI,20171.0,42145.0,21224.0,2886.0
PŁOŃSKI,15785.0,36444.0,17812.0,3256.0
PRZASNYCKI,13416.0,29722.0,9215.0,2428.0
PUŁTUSKI,17598.0,41543.0,21691.0,1816.0
RADZYMIŃSKI,10061.0,23531.0,7376.0,537.0
RAWSKI (RAWA MAZOWIECKA),13074.0,32209.0,19212.0,7101.0
SIERPECKI,15560.877761104199,40425.45042370397,16523.369128090664,3055.993644186654
SKIERNIEWICKI,8830.0,23840.0,11547.0,2150.0
SOCHACZEWSKI,11051.0,29444.0,11706.0,362.0
WARSZAWSKI,16058.0,27709.0,11859.0,437.0
