District,Total,1. All types of professional purchasing (total),a. Professional purchasing (agricultural products),b. Professional purchasing (livestock),c. Professional purchasing (plant and animal products),2. Food and colonial goods (exclusively),3. Food products along with non-food items (excluding wine and spirits),"4. Meat, fats, and meat products (exclusively)",5. Catering establishments with and without alcohol,"6. Wine, spirits, and beer (possibly with food and colonial goods)",7. Tobacco monopoly products,8. Textiles,"9. Textiles with clothing, haberdashery, garments, and footwear",10. Ready-made clothing and haberdashery,"11. Garments, garment parts, furs, and fur products",12. Footwear,13. Footwear with leather and shoemaking accessories,14. All types of leather and leather products (excluding footwear),"15. Machinery, tools, and technical goods (excluding agricultural)",16. Building materials and fuels,17. Furniture and all wooden products,"18. Iron, ironware, enameled and aluminum goods (possibly with other goods)","19. Kitchenware, porcelain, faience, glassware, window panes, and mirrors","20. Soap, candles, paints, gasoline, kerosene, mineral oils, lubricants (soap shops)","21. Musical, optical, surgical instruments, photographic equipment and accessories","22. Watchmaking, jewelry, and silver-plated products","23. Electrical equipment, radio equipment, and all lighting accessories",24. Pharmacies,"25. Pharmaceutical warehouses, perfumeries, and cosmetic shops","26. Rubber goods, oilcloth, linoleum, galoshes, tarpaulins, tires, inner tubes, etc.","27. Bookstores, stationery, and paper products (possibly with other goods)","28. Agricultural machinery, tools, and goods",29. Agricultural-commercial syndicates and cooperatives,"30. Banks, exchange offices, and other short- and long-term credit institutions","31. Forwarding, transport, and communication enterprises","32. Other service enterprises (reading rooms, clinics, laundries, bathhouses, garages, dance halls, etc.)","33. Hotels, boarding houses, furnished rooms, lodging houses","34. Theaters, cinemas, and other performances",35. Insurance companies,"36. Offices: commission, trade brokerage, advertising, legal advice, agency, technical, etc.",37. Other enterprises not listed above,38. Cards with no industry/branch specified,ZP. Industrial activities
ŚWIECKI,1106.574683247841,80.34758957686954,7.028722694313309,54.76789915924311,16.319359724049793,270.6410890840138,95.93501047661913,99.2739685544992,175.0230211635011,27.28630243672406,23.598513662593824,28.01779892431814,61.795511273631625,34.46638868003,0.9788413095970142,12.206085001698073,6.500640291919812,0.0,11.491938692839978,12.884420373159411,11.094340901769204,5.04445951705291,8.334650500112371,14.331370768695924,0.9788413095970142,8.157816972978162,2.081355030195496,7.028722694313309,13.960353535691523,0.0,13.653035397234587,0.05316111613274199,7.980983445843952,12.002670916497493,22.489187741674087,11.880306104580365,4.189290618457363,1.9576826191940284,0.0,2.9631044868574135,8.8361523444395,9.110077724508805,5.910166394063183
TCZEWSKI,818.3236689316312,34.53365411143952,7.662375939078694,11.961383451708246,13.585142842495186,241.69106761366595,47.88415035512474,94.81978944130515,110.72968416195772,18.31187969539347,8.0,4.9871278172360824,35.61088720802302,22.649503756314775,11.0,7.324751878157388,6.649503756314775,4.0,8.31187969539347,6.0,8.324751878157388,3.662375939078694,6.9871278172360824,10.649503756314775,0.0,7.324751878157388,3.662375939078694,4.662375939078694,7.662375939078694,0.0,22.974255634472165,4.0,3.662375939078694,8.662375939078695,11.974255634472165,12.961383451708246,7.324751878157388,2.0,2.0,4.0,8.0,15.324751878157388,40.29900751262955
TORUŃ (MIASTO),1004.3788337391795,28.143015425539875,2.04086155015425,17.0817231003085,4.020430775077125,264.1667701369544,44.75593867785363,70.79680022800788,123.38929270524451,21.183876975694126,21.183876975694126,6.020430775077125,41.44947705169675,45.408615501542506,7.040861550154251,23.204307750771253,6.040861550154251,8.081723100308501,17.122584650462752,15.163446200617,14.12258465046275,9.061292325231376,14.04086155015425,18.102153875385625,6.020430775077125,9.081723100308501,4.0,7.040861550154251,18.122584650462752,1.0,33.102153875385625,16.102153875385625,8.12258465046275,7.163446200617002,11.081723100308501,30.28603085107975,12.102153875385627,3.04086155015425,1.0,9.04086155015425,19.04086155015425,10.55163092708238,15.102153875385627
TORUŃSKI,505.3196291489583,7.0538515093183,2.0205373979143526,4.005016029064836,1.0282980823391106,153.65285884710704,37.21767741097811,38.805509607726044,67.7607435932274,9.11044767399652,9.11044767399652,1.0643568491029791,21.829264942655325,20.025080145324182,2.056596164678221,9.778158088696944,1.984478631150484,3.9328984955370996,5.773142059632109,8.010032058129672,6.025553426979189,2.976717946725726,2.2008312317336953,5.069372878167815,0.9561805488113735,4.005016029064836,0.0,2.056596164678221,5.953435893451452,0.0,5.069372878167815,4.925137811112341,5.953435893451452,7.973973291365804,4.293486163175785,13.711056584234047,4.889079044348472,1.912361097622747,0.0,2.0205373979143526,2.0205373979143526,26.141403718781902,4.889079044348472
TUCHOLSKI,453.8276142540697,43.04048381150952,2.0874686222096597,29.85734944895706,10.070718200234332,127.3267579521187,24.40975880823932,42.19430200282126,70.32991318763413,9.324297222346276,4.438329206881668,9.345455912749262,18.900315394378435,25.93104673575538,0.09886627805172205,8.218555676120827,5.040102938930425,0.0388537938243681,4.124412437818485,6.093136343405091,3.219489866164718,1.1143261405336766,5.069469055128274,5.19642119754619,0.021158690402985843,3.130111265739515,0.04231738080597169,2.1392736806421504,5.170518668329945,0.0,7.192327884180698,1.9911628478212493,1.2166560055670024,5.141152552132095,8.24882487563697,0.375209505122194,1.119069979346936,0.05526864541409439,0.0,1.0849600243358275,1.2119121667537427,2.2333961198806125,1.2179362573986583
WĄBRZESKI,590.6003524200878,39.94398518783203,9.51047266376953,15.216756262031248,15.216756262031248,151.21651535393553,38.04189065507812,38.04189065507812,97.00682117044921,12.36361446290039,1.902094532753906,8.559425397392577,26.629323458554683,10.461519930146483,6.657330864638671,11.412567196523437,8.559425397392577,5.706283598261718,6.657330864638671,10.461519930146483,10.461519930146483,6.657330864638671,6.657330864638671,7.608378131015624,0.951047266376953,9.51047266376953,0.951047266376953,2.853141799130859,8.559425397392577,0.0,9.51047266376953,4.755236331884765,4.755236331884765,8.559425397392577,6.657330864638671,3.804189065507812,6.657330864638671,3.804189065507812,1.902094532753906,1.902094532753906,2.853141799130859,7.608378131015624,4.755236331884765
MORSKI,395.0,12.0,0.0,4.0,8.0,170.0,5.0,21.0,88.0,9.0,7.0,4.0,14.0,10.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,5.0,2.0,0.0,3.0,0.0,1.0,4.0,0.0,8.0,0.0,3.0,2.0,5.0,4.0,1.0,1.0,0.0,2.0,1.0,6.0,6.0
GDYNIA (MIASTO),888.0,10.0,2.0,0.0,5.0,254.0,49.0,73.0,81.0,26.0,7.0,7.0,35.0,39.0,6.0,14.0,7.0,3.0,8.0,28.0,12.0,5.0,5.0,15.0,2.0,6.0,6.0,4.0,9.0,0.0,20.0,2.0,0.0,2.0,74.0,23.0,7.0,1.0,6.0,21.0,15.0,6.0,10.0
BYDGOSKI,461.80036633199467,18.991789957376405,2.998703677480485,6.996975247454465,7.99654313994796,143.93777651906328,27.98790098981786,45.98012305470077,84.96327086194708,7.99654313994796,3.99827156997398,2.998703677480485,13.99395049490893,14.993518387402425,1.99913578498699,4.997839462467475,1.99913578498699,0.999567892493495,4.997839462467475,8.996111032441455,0.0,0.0,5.99740735496097,7.99654313994796,0.999567892493495,0.999567892493495,0.0,1.99913578498699,4.997839462467475,0.0,4.997839462467475,5.99740735496097,6.996975247454465,8.996111032441455,4.997839462467475,3.99827156997398,3.99827156997398,0.999567892493495,0.0,0.0,0.0,7.99654313994796,3.99827156997398
BYDGOSZCZ (MIASTO),2292.1996336680054,33.008210042623595,2.0012963225195155,15.003024752545535,9.00345686005204,610.0622234809367,102.01209901018214,235.01987694529925,210.03672913805292,34.00345686005204,34.00172843002602,58.001296322519515,71.00604950509107,156.00648161259758,29.00086421501301,33.002160537532525,10.00086421501301,15.000432107506505,25.002160537532525,48.003888967558545,37.0,24.0,28.00259264503903,33.00345686005204,13.000432107506505,26.000432107506505,16.0,13.00086421501301,49.002160537532525,4.0,80.00216053753253,28.00259264503903,4.003024752545536,13.003888967558545,23.002160537532525,13.00172843002602,23.00172843002602,8.000432107506505,6.0,36.0,46.0,66.00345686005204,46.00172843002602
