District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
AUGUSTOWSKI,20.5,18.5,19.0,17.33,20.0,0.0,0.0,6.0,0.0,7.2,6.0,3.0
BIAŁOSTOCKI,22.28,17.35,20.0,17.91,17.6,23.0,21.22,6.45,3.6,7.19,5.5,3.85
BIELSKI (BIELSK PODLASKI),20.2,16.2,17.33,16.23,18.39,21.0,17.18,5.51,4.0,8.47,5.9,3.3
GRODZIEŃSKI,20.83,17.47,16.4,16.36,16.35,19.0,22.0,7.67,0.0,8.0,6.2,4.69
ŁOMŻYŃSKI,33.486713254484286,25.60260588288893,30.219839547546805,27.766152176853055,27.27473333633868,31.599057974281173,35.110120086362414,8.334107371595351,4.0,13.56006004318121,10.33758070522922,6.1848192138179865
OSTROŁĘCKI,30.443286745515717,23.68739411711107,26.030160452453195,24.263847823146943,25.21526666366132,29.570942025718825,30.999879913637585,7.065892628404648,4.0,11.50993995681879,8.692419294770781,4.545180786182013
OSTROWSKI (OSTRÓW MAZOWIECKA),21.5,16.5,20.0,17.0,16.0,20.0,20.0,5.5,3.0,8.5,6.75,4.75
SOKÓLSKI,20.78,16.67,18.0,15.86,18.38,21.0,18.88,7.38,0.0,5.96,5.14,3.81
SUWALSKI,21.25,17.45,19.0,17.33,14.5,21.0,18.5,6.7,5.5,5.47,4.61,3.92
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),20.27,16.45,18.0,17.38,15.0,21.0,22.83,5.6,4.0,6.83,5.36,3.9
WOŁKOWYSKI,20.16,16.25,16.8,15.67,18.32,20.67,20.5,5.99,4.8,7.82,5.79,3.81
WYSOKOMAZOWIECKI,22.27,17.87,20.67,18.67,18.42,18.0,23.33,5.85,0.0,7.19,6.29,3.84
BIAŁYSTOK (MIASTO),22.28,17.35,20.0,17.91,17.6,0.0,0.0,6.45,0.0,7.19,5.5,3.85
BĘDZIŃSKI,25.0,20.11,20.0,20.0,22.14,23.0,21.0,9.63,0.0,14.6,11.0,8.57
CZĘSTOCHOWSKI,23.8,20.63,21.0,19.9,20.44,0.0,0.0,5.72,0.0,10.64,8.27,4.76
IŁŻECKI,20.303546255026397,16.016583549430905,16.666367834687435,15.384911862502655,15.164450311446206,17.933251251450823,24.988670726212764,8.13240122605052,4.774583631297816,13.452264800139156,11.037711290410849,4.222420271743608
JĘDRZEJOWSKI,21.608222725467762,19.057322141249863,18.337929056701054,17.437048050400936,19.317478764592103,24.0,24.51096363395701,6.8726351877332394,4.881957791778038,8.834463765253927,7.173328246022664,4.29152707758687
KIELECKI,23.67,19.86,20.0,17.7,18.75,0.0,23.0,9.29,0.0,12.3,10.27,6.95
KONECKI,25.025712526894424,18.777201294019026,20.086785829939526,18.993508279979043,20.81452385884004,25.11171367470939,0.13617989272425596,5.776820514465354,5.013848802649925,13.247316742387241,10.0363761882938,4.631142505378885
KOZIENICKI,20.22,16.89,19.0,17.14,17.67,23.0,0.0,7.5,0.0,10.5,7.5,4.6
MIECHOWSKI,20.99177727453224,18.692677858750137,20.242070943298945,17.99295194959906,19.092521235407894,0.0,27.989036366042985,6.727364812266761,4.998042208221961,11.395536234746073,8.496671753977335,3.89847292241313
OLKUSKI,22.42,18.84,20.67,19.5,21.18,0.0,0.0,7.71,5.0,12.36,9.0,6.06
OPATOWSKI,20.22,17.76,19.5,16.15,16.13,20.2,25.67,6.44,0.0,11.0,8.88,4.29
OPOCZYŃSKI,22.794287473105577,18.802798705980976,18.713214170060475,18.006491720020957,18.22547614115996,24.08828632529061,29.363820107275743,5.783179485534646,2.9861511973500754,10.202683257612758,7.843623811706198,4.558857494621115
PIŃCZOWSKI,20.05,17.5,18.6,16.32,17.39,0.0,26.25,7.0,0.0,8.77,7.15,4.03
RADOMSKI,20.57609942302907,17.20537088506847,19.14964618667473,16.87318314509554,18.76860730847049,20.517478057151497,25.56868575026927,6.438580018887064,4.8851138231313085,10.385751987977162,7.493764604683427,4.455223806695753
SANDOMIERSKI,19.69,17.67,17.83,15.89,14.0,0.0,23.67,5.61,4.25,9.14,7.86,4.83
STOPNICKI,21.54,18.77,20.33,17.11,17.1,0.0,0.0,6.68,4.0,9.5,8.6,5.67
WŁOSZCZOWSKI,22.82,19.0,20.67,18.46,20.81,21.5,0.0,5.67,0.0,11.09,7.45,4.79
ZAWIERCIAŃSKI,27.17,20.5,23.14,20.93,22.11,0.0,0.0,8.64,5.0,14.0,10.67,7.08
CZĘSTOCHOWA (MIASTO),23.8,20.63,21.0,19.9,20.44,0.0,0.0,5.72,0.0,10.64,8.27,4.76
SOSNOWIEC,25.0,20.11,20.0,20.0,22.14,0.0,0.0,9.63,0.0,14.6,11.0,8.57
RADOM (MIASTO),0.3803543219445324,0.3180455655006275,0.35398597863783643,0.3119049924018079,0.3469423800833081,0.3792706913976819,0.47264352351796834,0.11901875506241541,0.09030254557087664,0.19198321188368375,0.13852410490572475,0.08235592156063949
BIALSKI (BIAŁA KRAKOWSKA),38.666018169318846,32.52724737611361,34.68468481647983,31.761091215564285,34.622222352260096,0.0,0.0,13.377491538703442,7.374374403662184,22.47463071814261,16.324076142735134,11.144124165127058
BOCHEŃSKI,23.64,19.86,22.0,20.42,23.14,0.0,31.0,7.82,6.0,17.64,11.79,4.92
BRZESKI (BRZESKO),21.6,19.85,21.33,19.0,20.8,0.0,28.33,6.38,5.0,13.58,9.75,5.26
CHRZANOWSKI,23.83,21.83,22.5,21.2,22.83,0.0,0.0,9.6,0.0,13.33,8.75,5.83
DĄBROWSKI,21.2,19.25,18.2,17.06,17.95,0.0,25.0,6.34,4.0,12.33,8.94,4.61
GORLICKI,30.014832909323516,25.851903671917896,25.456675320837284,27.431432517959223,28.638861122275554,0.0,7.178575539540859,7.680201174092869,5.935715107908171,15.732859280561247,11.050715683443892,6.700472305030111
JASIELSKI,30.344496443704386,26.10511619933572,26.86327630222779,25.307098123452814,28.281859259141733,0.0,39.3300516398424,8.229835376199139,6.444480308676217,17.56051968744766,13.781197544684908,7.202950289383953
KRAKOWSKI,43.51876636981423,38.48654966092741,43.72292253183668,37.70486198497231,41.47967312423019,0.0,0.0,14.762292364610559,5.0,32.18589468369198,25.522116243153768,10.06916890130778
KRAKÓW (MIASTO),21.47,19.4,22.0,19.27,21.07,0.0,0.0,8.67,0.0,15.4,12.36,5.3
LIMANOWSKI,25.85,21.77,22.5,21.5,25.18,0.0,0.0,6.92,4.5,10.46,8.85,5.15
MIELECKI,20.87,18.87,18.0,16.75,17.86,0.0,0.0,5.77,4.77,10.39,7.93,4.19
MYŚLENICKI,34.08948490424556,29.141620567871573,29.053370812785197,27.041641137803627,31.786192181012378,0.0,0.0,12.91196200531259,0.0,18.636544245034237,13.45169896818062,7.851312097980521
NOWOSĄDECKI,40.092495894639406,34.28118018678157,36.126356248146884,34.83001900952789,38.33526916794062,0.0,38.15626980159155,11.607430655334547,7.631253960318309,21.681260296827606,15.783131732541127,8.614916721699318
NOWOTARSKI,29.954460155807755,26.5905134604315,26.016113678158455,25.11665080076374,26.267781069779964,0.0,0.0,10.673820505132905,0.0,15.475674733893692,12.525053575579918,8.777328256244397
