District,Indirect Occupation - Total,Indirect Occupation - A. Agriculture and forestry,Indirect Occupation - B. Mining and industry,Indirect Occupation - C. Trade and insurance,Indirect Occupation - D. Transport and communication,"Indirect Occupation - E. Public service, liberal professions",Indirect Occupation - F. Army,Indirect Occupation - G. Domestic service,Indirect Occupation - H. Unemployed,Indirect Occupation - N. Not further specified
GORLICKI,58236.81816341776,50830.99483334898,3897.0101162582155,902.5515084886742,421.65007481964363,776.0557864743374,25.455717410051054,698.1543528053069,467.6871890644393,217.25858474811238
JASIELSKI,65840.32278118686,56880.63233630195,2809.3150417999045,1216.688831382082,918.9293091959789,1073.139121928873,26.456100707382998,1128.8954163341164,1439.6772110608977,346.5894124756638
KRAKOWSKI,75668.38543292465,58761.268791517854,7651.2058391758,1274.638956342983,1886.3698568220839,1712.183058164527,566.285393672026,1089.3624578451263,2356.403941321549,370.66713806270315
KRAKÓW (MIASTO),94082.0,1463.0,22262.0,16383.0,7408.0,12732.0,3879.0,12081.0,14306.0,3568.0
LIMANOWSKI,48814.0,45465.0,1216.0,511.0,273.0,549.0,13.0,415.0,238.0,134.0
MIELECKI,44936.0,40726.0,1194.0,1104.0,162.0,606.0,13.0,450.0,477.0,204.0
MYŚLENICKI,62406.794473253925,54488.53957087039,3513.0758856544962,742.1834237074976,651.2827239948219,844.9145631455565,41.45774488211261,749.1368682768905,926.0922875330081,450.1114051891651
NOWOSĄDECKI,91364.5868091023,72979.08953112722,4239.059309989009,2952.7578849429397,3060.4441103889662,2149.0240977159474,328.99876504920957,2026.710323161974,2457.876472569889,1170.6263141571567
NOWOTARSKI,67859.30237429007,60076.33880630439,1914.1748676044251,1410.7962080490936,312.41944181186483,1433.946738183411,87.34760572693598,1025.2357671392283,1212.9462263274513,386.0967131432748
TARNOWSKI,68611.59502747993,50315.91563552381,4807.930573752776,3034.690606568386,1585.9058147913902,2038.9201158097148,354.54551754073935,1883.1353240327192,3212.436338365672,1378.115101094731
WADOWICKI,85175.50081069353,70004.42127228563,6311.546884498621,1590.8467705436715,1113.5689270875118,1727.891112799203,214.51631134132666,1343.3333576326092,1917.0539803141733,952.3221941907736
ŻYWIECKI,63780.15649106186,51960.04326846095,6637.218323971127,756.4185189730466,1147.0142994412506,804.9962544425339,74.35270368046866,754.4362500795833,708.8318833136078,936.8449886992997
DĘBICKI,66545.67721881314,61146.367663698045,1390.6849582000957,1117.311168617918,613.0706908040211,792.8608780711271,42.543899292617006,485.1045836658835,578.3227889391022,379.4105875243362
BIALSKI (BIAŁA PODLASKA),50688.74508983095,41887.74691400538,3181.1787420731807,1586.356081504685,576.9447512220679,977.2334807987502,216.3083064417932,622.6998048329142,805.2018007727457,835.075208179425
BIŁGORAJSKI,57021.0,51629.0,2034.0,1880.0,162.0,509.0,5.0,407.0,325.0,70.0
CHEŁMSKI,66481.0,53643.0,4199.0,2427.0,1243.0,1225.0,239.0,1045.0,1261.0,1199.0
GARWOLIŃSKI,70616.0,60247.0,4429.0,2127.0,630.0,923.0,77.0,630.0,754.0,799.0
HRUBIESZOWSKI,58919.6247704151,50187.03515919833,3737.942009350333,1950.140881368894,354.87104001965577,847.2779561601418,80.95426746725505,684.2426764217239,688.0174488873104,389.14333154146436
JANOWSKI,73370.0,64506.0,3537.0,1792.0,302.0,869.0,47.0,721.0,689.0,907.0
KRASNOSTAWSKI,64240.0,57467.0,2822.0,1466.0,163.0,659.0,39.0,597.0,487.0,540.0
LUBARTOWSKI,52858.0,46978.0,2393.0,1354.0,148.0,685.0,23.0,400.0,441.0,436.0
LUBELSKI,74800.00016429988,67353.99999955652,3454.000046643074,1342.0000327275297,388.0000131650044,643.0000179346274,37.00000549238252,691.000016064075,382.0000231120725,509.00000960459414
ŁUKOWSKI,65602.0,56980.0,3604.0,1523.0,553.0,846.0,48.0,673.0,695.0,680.0
PUŁAWSKI,79596.0,65274.0,5462.0,2895.0,1263.0,1323.0,580.0,1068.0,936.0,795.0
RADZYŃSKI,47184.0,39373.0,3400.0,1437.0,308.0,701.0,34.0,610.0,644.0,677.0
