District,Total,1. All types of professional purchasing (total),a. Professional purchasing (agricultural products),b. Professional purchasing (livestock),c. Professional purchasing (plant and animal products),2. Food and colonial goods (exclusively),3. Food products along with non-food items (excluding wine and spirits),"4. Meat, fats, and meat products (exclusively)",5. Catering establishments with and without alcohol,"6. Wine, spirits, and beer (possibly with food and colonial goods)",7. Tobacco monopoly products,8. Textiles,"9. Textiles with clothing, haberdashery, garments, and footwear",10. Ready-made clothing and haberdashery,"11. Garments, garment parts, furs, and fur products",12. Footwear,13. Footwear with leather and shoemaking accessories,14. All types of leather and leather products (excluding footwear),"15. Machinery, tools, and technical goods (excluding agricultural)",16. Building materials and fuels,17. Furniture and all wooden products,"18. Iron, ironware, enameled and aluminum goods (possibly with other goods)","19. Kitchenware, porcelain, faience, glassware, window panes, and mirrors","20. Soap, candles, paints, gasoline, kerosene, mineral oils, lubricants (soap shops)","21. Musical, optical, surgical instruments, photographic equipment and accessories","22. Watchmaking, jewelry, and silver-plated products","23. Electrical equipment, radio equipment, and all lighting accessories",24. Pharmacies,"25. Pharmaceutical warehouses, perfumeries, and cosmetic shops","26. Rubber goods, oilcloth, linoleum, galoshes, tarpaulins, tires, inner tubes, etc.","27. Bookstores, stationery, and paper products (possibly with other goods)","28. Agricultural machinery, tools, and goods",29. Agricultural-commercial syndicates and cooperatives,"30. Banks, exchange offices, and other short- and long-term credit institutions","31. Forwarding, transport, and communication enterprises","32. Other service enterprises (reading rooms, clinics, laundries, bathhouses, garages, dance halls, etc.)","33. Hotels, boarding houses, furnished rooms, lodging houses","34. Theaters, cinemas, and other performances",35. Insurance companies,"36. Offices: commission, trade brokerage, advertising, legal advice, agency, technical, etc.",37. Other enterprises not listed above,38. Cards with no industry/branch specified,ZP. Industrial activities
AUGUSTOWSKI,214.0,46.0,24.0,2.0,1.0,54.0,20.0,29.0,1.0,0.0,13.0,0.0,0.0,13.0,9.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0
BIAŁOSTOCKI,251.0,62.0,28.0,1.0,10.0,58.0,8.0,62.0,8.0,0.0,14.0,3.0,5.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BIELSKI (BIELSK PODLASKI),487.0,118.0,61.0,2.0,31.0,101.0,25.0,61.0,3.0,0.0,3.0,11.0,7.0,31.0,35.0,19.0,1.0,5.0,0.0,1.0,0.0,6.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,21.0,6.0,0.0,0.0,1.0,3.0,4.0,0.0
GRODZIEŃSKI,553.0,139.0,86.0,3.0,6.0,163.0,30.0,26.0,18.0,0.0,9.0,8.0,3.0,26.0,9.0,9.0,0.0,20.0,0.0,4.0,3.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,4.0,26.0,5.0,0.0,0.0,1.0,6.0,5.0,2.0
ŁOMŻYŃSKI,677.5386750023738,87.82973913827482,61.290741207174854,0.5673747413874957,13.13474948277499,142.85098137989968,33.02124224162487,136.4183561212872,7.567374741387495,0.0,4.567374741387495,37.51062112081243,3.5673747413874954,45.10637267248746,42.51062112081243,51.40424844832497,3.1347494827749913,9.702124224162487,0.0,7.567374741387495,6.404248448324974,3.2694989655499826,6.567374741387495,0.0,0.0,0.5673747413874957,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,23.26949896554998,6.567374741387495,0.0,0.0,0.0,9.13474948277499,0.0,2.0
OSTROŁĘCKI,580.4613249976262,55.17026086172518,36.709258792825146,2.4326252586125046,9.86525051722501,147.14901862010032,22.97875775837513,159.5816438787128,9.432625258612504,0.0,3.4326252586125046,10.489378879187566,1.4326252586125043,27.89362732751254,37.48937887918756,31.595751551675026,2.8652505172250087,6.297875775837513,0.0,9.432625258612504,3.595751551675026,9.730501034450018,7.432625258612505,3.0,0.0,0.43262525861250434,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,3.0,6.730501034450017,1.4326252586125043,0.0,0.0,0.0,1.8652505172250087,8.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),400.0,23.0,9.0,1.0,8.0,126.0,18.0,80.0,2.0,0.0,5.0,17.0,3.0,36.0,10.0,15.0,1.0,5.0,0.0,5.0,9.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0
SOKÓLSKI,207.0,32.0,19.0,0.0,4.0,44.0,18.0,14.0,5.0,0.0,13.0,0.0,1.0,10.0,9.0,9.0,2.0,9.0,0.0,4.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,17.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
SUWALSKI,260.0,43.0,17.0,3.0,6.0,52.0,9.0,30.0,2.0,0.0,12.0,3.0,3.0,25.0,17.0,11.0,1.0,6.0,0.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,11.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),277.0,55.0,46.0,1.0,4.0,67.0,10.0,62.0,7.0,0.0,5.0,1.0,2.0,6.0,10.0,10.0,2.0,6.0,0.0,2.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0
