District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,RazemR,RazemPR,Handel jarmarczny - hurtR,Handel jarmarczny - hurtPR,Handel jarmarczny - detalR,Handel jarmarczny - detalPR,Karty rejestracyjneR,Karty rejestracyjnePR
SOKOŁOWSKI,0.0,0.0,3.015939015531717,0.006375606212686801,0.0031878031063434006,0.0,0.0,0.0,3.0191268186380604,0.006375606212686801,0.0,0.0,0.0,0.0,0.0,0.0
TOMASZOWSKI,0.0,0.0,1.996401932432212,0.998200966216106,2.994602898648318,0.0,0.0,0.0,4.99100483108053,0.998200966216106,0.0,0.0,0.0,0.0,0.0,0.0
WĘGROWSKI,0.0,0.0,0.9999999999680437,0.0,0.0,0.0,0.0,0.0,0.9999999999680437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WŁODAWSKI,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAMOJSKI,0.0,0.0,20.011839136983546,6.002959784245887,1.0029597842458864,0.0009865947486288212,0.0,0.0,21.01479892122943,6.003946378994515,0.0,0.0,0.0,0.0,0.0,0.0
LUBLIN (MIASTO),0.0,0.0,0.23445000414115338,0.015630000276076892,0.1719300030368458,0.0,0.0,0.0,0.4063800071779992,0.015630000276076892,0.0,0.0,0.0,0.0,0.0,0.0
BÓBRECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
BRZOZOWSKI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
DOBROMILSKI,0.0,0.0,7.376844853318467e-16,0.0,1.0000000000000004,0.0,0.0,0.0,1.000000000000001,0.0,1.0,0.0,140.30400876790182,0.0,14.432070143214503,1.0538349790454954e-16
DROHOBYCKI,0.0,0.0,6.315191071735244,0.0,3.1801091838487108,0.0,0.0,0.0,9.495300255583954,0.0,0.0,0.0,0.0,0.0,156.06185612542808,0.045027295962177694
GRÓDECKI,1.0,0.0,5.118390848398572e-09,1.0236781696797145e-09,0.0,0.0,0.0,0.0,1.0000000051183908,1.0236781696797145e-09,0.0,0.0,0.0,0.0,16.000000015355173,0.0
JAROSŁAWSKI,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,15.0,0.0
