District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,RazemR,RazemPR,Handel jarmarczny - hurtR,Handel jarmarczny - hurtPR,Handel jarmarczny - detalR,Handel jarmarczny - detalPR,Karty rejestracyjneR,Karty rejestracyjnePR
AUGUSTOWSKI,3.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAŁOSTOCKI,0.0,0.0,19.718003383485236,3.9437650200842422,4.929192702020318,0.0,0.0,0.0,24.647196085505552,3.9437650200842422,0.0,0.0,0.0,0.0,0.0,0.0
BIELSKI (BIELSK PODLASKI),0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GRODZIEŃSKI,0.0,0.0,5.957445577922806,1.9858151926409353,5.957445577922806,0.0,0.0,0.0,11.914891155845613,1.9858151926409353,0.0,0.0,0.0,0.0,0.0,0.0
ŁOMŻYŃSKI,0.0,0.0,11.269498965549982,1.0,2.0,0.0,0.0,0.0,13.269498965549982,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OSTROŁĘCKI,0.0,0.0,1.7305010344500174,0.0,2.0,0.0,0.0,0.0,3.7305010344500174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOKÓLSKI,0.0,0.0,2.9987674245960347,0.9995891415320115,0.0,0.0,0.0,0.0,2.9987674245960347,0.9995891415320115,0.0,0.0,0.0,0.0,0.0,0.0
SUWALSKI,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
