District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Evangelical,% Evangelical,Orthodox,% Orthodox,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
AUGUSTOWSKI,56400.0,0.904077969,23.0,0.000368684,289.0,0.004632598,683.0,0.01094832,4036.0,0.064696076,932.0,0.014939728,21.0,0.000336625
BIAŁOSTOCKI,111913.47604184804,0.5994259675302726,409.13367658785404,0.002190824103838953,3299.614331344908,0.017668311821642167,18039.76049937731,0.09661838622701827,50366.99006591358,0.26971676691618135,44.36273431818286,0.00023754666885722275,73.03915398511425,0.0003915965900799039
BIELSKI (BIELSK PODLASKI),66674.0,0.629867752,27.0,0.000208952,246.0,0.0070122,62730.0,1.162957206,17326.0,0.199097326,79.0,0.000611379,13.0,0.0002451848
GRODZIEŃSKI,61470.90928820015,0.4085993323360847,18.865244330088885,0.00012539827196969712,325.6736915931134,0.002164764942910581,55751.76153339426,0.37058395267092503,31597.298437706242,0.210028372644278,24.822689908011693,0.00016499741272615003,186.66662810824792,0.001240780027388698
ŁOMŻYŃSKI,116503.50847038554,1.3363876147451297,22.80849689664995,0.00026402851462318096,871.4749482774992,0.009223848891468475,338.92184267343697,0.0037450754321677977,20225.958030046524,0.21755964302448166,1.5673747413874957,1.8730026762352722e-05,17.567374741387496,0.00017580111676235272
OSTROŁĘCKI,91875.49152961446,1.2983220572548704,7.191503103350052,0.00010864258537681902,165.52505172250085,0.002429199108531524,165.07815732656303,0.0023528695678322028,9090.041969953474,0.12843730797551833,71.4326252586125,0.0009683872832376473,0.43262525861250434,6.796283237647275e-06
OSTROWSKI (OSTRÓW MAZOWIECKA),78238.0,0.828292239,0.0,0.0,1233.0,0.013053559,173.0,0.001831521,14799.0,0.156674466,0.0,0.0,14.0,0.000148216
SOKÓLSKI,72195.32574714953,0.7998241354115123,25.9893176798323,0.00028792565468344674,30.987263387492355,0.0003432958960003294,9353.155597315032,0.10361999934708488,8409.543447708813,0.0931660841920451,0.0,0.0,211.91289800478643,0.0023477010306854236
SUWALSKI,71039.0,1.605713221,16.0,0.000373429,6079.0,0.095727807,655.0,0.017635562,8099.0,0.146272396,4224.0,0.134147679,4.0,0.0001299062
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),50561.0,0.86907422,11.0,0.000189075,144.0,0.002475162,151.0,0.002595483,7278.0,0.125098835,33.0,0.000567225,0.0,0.0
WOŁKOWYSKI,53308.0,0.462498156,26.0,0.000225575,260.0,0.00225575,47954.0,0.416047058,13672.0,0.118617746,0.0,0.0,41.0,0.000355714
