District,Area
RADOM (MIASTO),9270.279540291649
RADOMSKI,504388.6836004048
RADOMSZCZAŃSKI,543493.7180402612
RADZIECHOWSKI,254959.5798585219
RADZYMIŃSKI,287576.12226079294
RADZYŃSKI,425545.92138845904
RAWICKI,135991.54712023257
RAWSKI (RAWA MAZOWIECKA),344220.98557631177
RAWSKI (RAWA RUSKA),340860.5073486073
ROHATYŃSKI,271961.6700920635
RUDECKI,159405.91086777995
RYBNICKI,216831.079428436
RYPIŃSKI,331317.97110273974
RZESZOWSKI,305651.51503801707
RÓWIEŃSKI,720963.2132237294
SAMBORSKI,266651.80850605515
SANDOMIERSKI,293074.1788356226
SANOCKI,298244.86628022144
SARNEŃSKI,1405519.1283377388
SIEDLECKI,529784.2979799628
SIERADZKI,421856.32451332774
SIERPECKI,325548.30746729695
SKAŁACKI,205737.55450811502
SKIERNIEWICKI,218921.41954325943
SOCHACZEWSKI,281628.20211899886
SOKALSKI,325722.7096502313
SOKOŁOWSKI,346359.92155024136
SOKÓLSKI,657478.7761831162
SOSNOWIEC,7551.716892753466
STANISŁAWOWSKI,295908.421663401
STAROGARDZKI,324140.10489460174
STOLIŃSKI,1405253.7942800159
STOPNICKI,392805.8097904861
STOŁPECKI,674421.6029665662
STRYJSKI,487618.9227225663
SUWALSKI,653844.254248369
SZAMOTULSKI,292172.88205067447
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),410275.58915220044
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),652808.2920626738
SZUBIŃSKI,254425.34576237068
SĘPOLEŃSKI,175703.25935450822
SŁONIMSKI,851865.1589512015
TARNOBRZESKI,236967.57692259678
TARNOGÓRSKI,57399.35696164898
TARNOPOLSKI,292238.9070552238
TARNOWSKI,211527.36268875233
TCZEWSKI,207018.97076225127
TOMASZOWSKI,345795.9516698898
TORUŃ (MIASTO),14907.39379942039
TORUŃSKI,244599.33764505497
TREMBOWELSKI,183026.23039569243
TUCHOLSKI,286814.3872645688
TURCZAŃSKI,427132.2446077959
TURECKI,327004.38258158433
TŁUMACKI,214228.22545535935
WADOWICKI,269815.08290722617
WARSZAWSKI,476138.6181914127
WIELUŃSKI,535029.0023126047
WILEJSKI,1051816.481625653
WILEŃSKO-TROCKI,1770077.790815223
WILNO (MIASTO),30359.395576447634
WOLSZTYŃSKI,200380.73817649033
WOŁKOWYSKI,1087621.1686172455
WOŁOŻYŃSKI,807587.3588387277
WRZESIŃSKI,163741.65925173907
WYRZYSKI,325418.04361876065
WYSOKOMAZOWIECKI,402924.44934102107
WĄBRZESKI,188810.25114710713
WĄGROWIECKI,284629.87468257727
WĘGROWSKI,349803.9745709275
WŁOCŁAWSKI,356157.8546084924
WŁODAWSKI,601321.215572249
WŁODZIMIERSKI,558125.6704647159
WŁOSZCZOWSKI,361259.63565097266
ZALESZCZYCKI,159319.58898825612
ZAMOJSKI,412412.64282610395
ZAWIERCIAŃSKI,232609.22755413127
ZBARASKI,177135.3512264466
ZBOROWSKI,204718.36113749555
ZDOŁBUNOWSKI,330080.37561527756
ZŁOCZOWSKI,286774.2666433081
ŁASKI,364111.1206080778
ŁAŃCUCKI,215893.89003493942
ŁOMŻYŃSKI,736474.0031097484
ŁOWICKI,330741.1109911067
ŁUCKI,1196875.6910051387
ŁUKOWSKI,462075.685281303
ŁUNINIECKI,1548263.3834089648
ŁÓDZKI,230861.93422924203
ŁÓDŹ (MIASTO),15320.545354855309
ŁĘCZYCKI,347220.012671551
ŚNIATYŃSKI,128934.17355986791
ŚREDZKI,215424.82203974773
ŚREMSKI,250204.14094284133
ŚRÓDMIEJSKO-WARSZAWSKI,2673.5170908392697
ŚWIECKI,449208.60560402356
ŚWIĘCIAŃSKI,1233514.502255219
ŚWIĘTOCHŁOWICKI,19757.727968287094
ŻNIŃSKI,203073.5531345526
ŻYDACZOWSKI,205450.39579409917
ŻYWIECKI,272741.57314764784
ŻÓŁKIEWSKI,269654.5639323083
