Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len;Konopie;Rzepak i rzepik;Chmiel;Tytoń
KIELECKIE;RADOM (MIASTO);;;;;;;;;;;;;;;;;;
KIELECKIE;RADOMSKI; 5 046 ; 56 022 ; 10 418 ; 15 980 ; 21 910 ; 5 ; 1 232 ; 1 126 ; 4 ; 170 ; 63 ; 725 ; 519 ; 587 ; 56 ; 532 ; 17 ; -   
KIELECKIE;SANDOMIERSKI; 10 540 ; 16 554 ; 9 106 ; 10 486 ; 11 700 ; 826 ; 72 ; 1 310 ; 6 ; 124 ; 97 ; 481 ; 135 ; 57 ; 70 ; 251 ; 14 ; -   
KIELECKIE;SOSNOWIEC;;;;;;;;;;;;;;;;;;
KIELECKIE;STOPNICKI; 12 866 ; 30 792 ; 9 015 ; 11 361 ; 17 374 ; 46 ; 126 ; 1 974 ; 15 ; 251 ; 374 ; 395 ; 210 ; 26 ; 23 ; 114 ; 2 ; -   
KIELECKIE;WŁOSZCZOWSKI; 8 806 ; 21 929 ; 3 004 ; 5 236 ; 12 150 ; -   ; 33 ; 139 ; 4 ; 198 ; 110 ; 196 ; 41 ; 106 ; 9 ; 63 ; 10 ; -   
KIELECKIE;ZAWIERCIAŃSKI; 1 912 ; 18 923 ; 2 565 ; 3 177 ; 11 429 ; -   ; 112 ; 11 ; 1 ; 138 ; 42 ; 94 ; 48 ; 18 ; 3 ; 7 ; -   ; -   
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA); 1 318 ; 7 327 ; 536 ; 7 186 ; 6 534 ; 31 ; 3 ; -   ; 3 ; 199 ; 32 ; 3 ; 22 ; -   ; -   ; 13 ; -   ; -   
KRAKOWSKIE;BOCHEŃSKI; 8 452 ; 10 345 ; 3 450 ; 6 245 ; 7 343 ; -   ; -   ; 202 ; 41 ; 75 ; 13 ; 73 ; 62 ; 1 ; 3 ; 15 ; 5 ; -   
KRAKOWSKIE;BRZESKI (BRZESKO); 8 035 ; 12 439 ; 4 199 ; 7 041 ; 8 702 ; 15 ; 21 ; 455 ; 44 ; 74 ; 37 ; 96 ; 95 ; 13 ; 11 ; 6 ; -   ; -   
