region,district,territory_date,centroid_lon,centroid_lat
poznańskie,bydgoski,18.04.1931,430941.7728698165,593374.7972618621
poznańskie,Gniezno,18.04.1931,405173.0145342723,517185.06800669484
poznańskie,czarnkowski,18.04.1931,326618.6203959033,556543.2286882721
poznańskie,chodzieski,18.04.1931,362532.7757367982,572548.0970664808
poznańskie,Bydgoszcz,18.04.1931,434975.3608380082,584742.8290164187
poznańskie,gostyński,18.04.1931,363511.5663356824,440453.5728267008
poznańskie,gnieźnieński,18.04.1931,404551.4996042691,518263.3413906144
nowogródzkie,lidzki,18.04.1931,910781.259575761,697437.774161156
nowogródzkie,baranowicki,18.04.1931,967468.9114361726,598246.8232104518
nowogródzkie,stołpecki,18.04.1931,1001606.0067430779,658766.0440856073
nowogródzkie,słonimski,18.04.1931,917597.4115665712,603695.6676861075
nowogródzkie,nowogródzki,18.04.1931,949546.4767180884,654498.2845100098
nowogródzkie,nieświeski,18.04.1931,1011590.2460573565,609861.1935358627
stanisławowskie,stryjski,18.04.1931,852795.7987959329,163720.99024303892
stanisławowskie,stanisławowski,18.04.1931,917427.5639366851,142097.51835161832
stanisławowskie,skolski,18.04.1931,823816.5339176274,130134.72709289442
stanisławowskie,żydaczowski,18.04.1931,871982.1552672951,176691.79480775903
stanisławowskie,tłumacki,18.04.1931,937530.36706255,125869.98191212885
stanisławowskie,śniatyński,18.04.1931,974013.4583994587,86745.07532108238
poleskie,prużański,18.04.1931,873647.493757843,534618.5974831076
poleskie,piński,18.04.1931,983371.016178652,488046.12005149515
poleskie,łuniniecki,18.04.1931,1032185.049200905,544067.0086509592
poleskie,koszyrski,18.04.1931,922685.5847290825,441391.10659731063
stanisławowskie,bohorodczański,18.04.1931,896516.9730990675,110688.93073353081
poleskie,stoliński,18.04.1931,1053668.3879698578,469097.95391178475
stanisławowskie,kołomyjski,18.04.1931,944223.9688929482,89719.77995339506
stanisławowskie,kałuski,18.04.1931,888249.9405683071,133330.8789269977
stanisławowskie,horodeński,18.04.1931,968955.6549075868,114927.44831597611
stanisławowskie,doliński,18.04.1931,858777.5985225423,122590.95495728382
stanisławowskie,rohatyński,18.04.1931,907766.3203593147,178024.79850259188
stanisławowskie,nadwórniański,18.04.1931,908487.9374395096,82536.9986498183
stanisławowskie,kosowski (Kosów Huculski),18.04.1931,937322.4153045011,44009.19023386895
pomorskie,starogardzki,18.04.1931,461918.5315295506,665790.3008466054
pomorskie,sępoleński,18.04.1931,401857.9036436577,620008.9097927322
poleskie,brzeski (Brześć n.Bug.),18.04.1931,825666.4295712727,480588.0344949631
poleskie,kosowski (Kosów Poleski),18.04.1931,932096.4589777727,548318.0810305652
poleskie,kobryński,18.04.1931,875481.2986030559,489430.8928457966
