region,district,territory_date,centroid_lon,centroid_lat
poleskie,drohiczyński,18.04.1931,930596.5364964025,496984.9977381906
śląskie,Królewska Huta,18.04.1931,498061.32209745375,270022.0572230248
śląskie,katowicki,18.04.1931,499522.81990623643,265755.3471977244
pomorskie,Toruń,18.04.1931,471754.47817704413,572782.1378221515
pomorskie,tczewski,18.04.1931,480699.30933978996,686743.863328425
pomorskie,świecki,18.04.1931,459295.71080476267,627149.7931917248
śląskie,pszczyński,18.04.1931,495145.2649848372,245038.77403592868
pomorskie,wąbrzeski,18.04.1931,496866.77963427384,594420.8640688937
śląskie,lubliniecki,18.04.1931,487640.37062612636,308678.0736885686
pomorskie,tucholski,18.04.1931,430480.2542201989,636386.7738770813
pomorskie,toruński,18.04.1931,471518.8312550131,579584.4240454723
śląskie,tarnogórski,18.04.1931,492325.3838362081,289317.04288732586
pomorskie,Grudziądz,18.04.1931,484194.1256331775,623489.9986896378
śląskie,świętochłowicki,18.04.1931,494867.149984225,273702.70201600785
pomorskie,gniewski,18.04.1931,483128.95717352146,659131.0892293637
śląskie,rybnicki,18.04.1931,466462.65102475416,244657.72982156262
pomorskie,Gdynia,18.04.1931,468355.64763338125,739471.7739751437
pomorskie,działdowski,18.04.1931,574652.4296674831,600148.9706980332
pomorskie,grudziądzki,18.04.1931,498116.96974885865,623587.4216541507
pomorskie,kościerski,18.04.1931,440678.4448307972,687869.3641216494
pomorskie,kartuski,18.04.1931,437925.55719313293,715170.6627847488
śląskie,Bielsko,18.04.1931,502878.29183913465,217440.2301240785
śląskie,bielski (Bielsko),18.04.1931,493808.5261500807,220691.58186353286
pomorskie,lubawski,18.04.1931,542924.9809401633,620252.7552107625
śląskie,cieszyński,18.04.1931,485888.40636978694,206245.2610518638
śląskie,Katowice,18.04.1931,500892.5684669399,264815.91958441987
pomorskie,chojnicki,18.04.1931,411083.24950498535,665397.3936132181
pomorskie,chełmiński,18.04.1931,466872.06685639854,602377.7304809372
pomorskie,brodnicki,18.04.1931,531779.4736122908,601490.0455624835
tarnopolskie,przemyślański,18.04.1931,901800.7552571363,216454.0765095341
tarnopolskie,trembowelski,18.04.1931,984743.5294160033,176321.61160149868
tarnopolskie,tarnopolski,18.04.1931,975456.6768435973,205759.7221281981
tarnopolskie,skałacki,18.04.1931,1011191.0893795488,194660.01108214087
tarnopolskie,radziechowski,18.04.1931,909150.127724583,280470.58678861737
tarnopolskie,złoczowski,18.04.1931,919682.5002203878,236746.19803687118
tarnopolskie,zborowski,18.04.1931,948175.3270728284,225511.24960326703
tarnopolskie,zbaraski,18.04.1931,998808.9577859207,221766.60618029453
tarnopolskie,zaleszczycki,18.04.1931,994645.3896733673,122018.79676068416
lubelskie,zamojski,18.04.1931,790425.5290391071,322056.28202502226
tarnopolskie,brzeżański,18.04.1931,937373.0941230862,197070.40481640463
tarnopolskie,brodzki,18.04.1931,938347.8454584453,260624.62429180177
tarnopolskie,borszczowski,18.04.1931,1021443.661124827,121078.33305353303
tarnopolskie,kamionecki,18.04.1931,891825.8368374418,258957.18198740392
tarnopolskie,czortkowski,18.04.1931,992710.548780826,147394.25500282427
białostockie,ostrowski (Ostrów Mazowiecka),18.04.1931,697442.5827923443,548263.0651918617
tarnopolskie,buczacki,18.04.1931,960079.7684603642,148646.0249368981
białostockie,wołkowyski,18.04.1931,860364.7501239685,589289.1712867094
tarnopolskie,podhajecki,18.04.1931,948538.7847948027,173416.5462155241
białostockie,szczuczyński (woj. białostockie),18.04.1931,730525.794767336,638728.9222335592
tarnopolskie,kopyczyniecki,18.04.1931,1011043.3682426178,161933.76171954477
białostockie,suwalski,18.04.1931,765284.9338214905,703964.2714256782
białostockie,sokólski,18.04.1931,794905.8402191855,631357.4946625337
białostockie,wysokomazowiecki,18.04.1931,743649.4797848685,571002.202641385
lubelskie,łukowski,18.04.1931,724908.5862518869,447553.8216771974
lubelskie,Lublin,18.04.1931,749197.4245058575,381206.3286860423
lubelskie,lubelski,18.04.1931,750666.1071107171,372383.2915926229
lubelskie,sokołowski,18.04.1931,724446.679594897,517877.5350115865
lubelskie,siedlecki,18.04.1931,725507.0449862093,482123.5125256771
lubelskie,radzyński,18.04.1931,761728.65697876,447410.09754178795
lubelskie,puławski,18.04.1931,712299.8006490264,386435.39787368267
lubelskie,włodawski,18.04.1931,795238.6725158886,418751.9968666126
lubelskie,węgrowski,18.04.1931,696903.4258695635,512792.0316968879
lubelskie,tomaszowski,18.04.1931,821229.0008403577,305920.6548898852
białostockie,Białystok,18.04.1931,778477.0926299118,593122.1800871341
lwowskie,żółkiewski,18.04.1931,861113.8247544969,261061.28988948994
białostockie,białostocki,18.04.1931,771334.1948559964,602242.4428777114
białostockie,augustowski,18.04.1931,778387.4730995859,669300.6910034216
wołyńskie,rówieński,18.04.1931,1030258.197075065,337764.9799542276
białostockie,łomżyński,18.04.1931,712397.6170526755,584827.0269399697
białostockie,kolneński,18.04.1931,695254.9477938227,612939.8004624342
białostockie,grodzieński,18.04.1931,839357.1624727002,651419.1292289969
białostockie,bielski (Bielsk Podlaski),18.04.1931,786862.4332560184,542424.0798568572
białostockie,ostrołęcki,18.04.1931,668764.7022613459,588008.7373813172
lubelskie,bialski (Biała Podlaska),18.04.1931,796390.3104751616,463959.46563779196
kieleckie,zawierciański,18.04.1931,521908.64967198815,297481.17840206507
lubelskie,hrubieszowski,18.04.1931,838932.4451982803,337228.45034589403
lubelskie,garwoliński,18.04.1931,685797.8358271216,439886.32824200374
lubelskie,chełmski,18.04.1931,809475.2660637499,375296.1126219959
lubelskie,biłgorajski,18.04.1931,762818.3971783319,296950.845169084
lubelskie,lubartowski,18.04.1931,749713.5636108294,406882.93052945496
lubelskie,krasnostawski,18.04.1931,778352.6930832798,349447.1246533307
wołyńskie,sarneński,18.04.1931,1026213.1189922452,417467.9351122266
lubelskie,konstantynowski,18.04.1931,773009.4783939344,489409.52072242874
lubelskie,janowski,18.04.1931,727093.9323517362,335357.8117447097
wołyńskie,zdołbunowski,18.04.1931,1021018.4969854604,305859.2549871388
wołyńskie,włodzimierski,18.04.1931,872119.5022151049,346061.43831847183
lwowskie,rzeszowski,18.04.1931,715797.3929987419,243469.79516647302
lwowskie,rudecki,18.04.1931,830899.6116250932,204665.79389365614
lwowskie,rawski (Rawa Ruska),18.04.1931,832609.2343548225,276867.0361136386
lwowskie,starosamborski,18.04.1931,785094.9139084304,177776.8788778715
lwowskie,sokalski,18.04.1931,871704.8559643979,297959.1199873076
lwowskie,sanocki,18.04.1931,720368.9258277809,184592.17801457236
lwowskie,samborski,18.04.1931,807548.0122056031,192372.80535757056
lwowskie,turczański,18.04.1931,791355.4419411094,143915.92777903652
lwowskie,tarnobrzeski,18.04.1931,700839.5420290665,305007.9903168838
m. Stołeczne Warszawa,północno-warszawski,18.04.1931,634400.2632294588,489596.7326315984
lwowskie,strzyżowski,18.04.1931,697473.5880577337,225593.16762108335
m. Stołeczne Warszawa,południowo-warszawski,18.04.1931,638567.828405326,483830.35522141645
lwowskie,kolbuszowski,18.04.1931,702244.0457379229,272842.4046904051
kieleckie,olkuski,18.04.1931,547790.8023643324,277336.70249987807
m. Stołeczne Warszawa,śródmiejsko-warszawski,18.04.1931,638455.8437366917,486688.4681989551
m. Stołeczne Warszawa,prasko-warszawski,18.04.1931,640568.6431960632,489561.17440346885
kieleckie,pińczowski,18.04.1931,608346.4741255332,278569.9978962518
kieleckie,opoczyński,18.04.1931,590790.9453931544,393467.3784603944
kieleckie,opatowski,18.04.1931,668094.609065245,334198.01806152007
kieleckie,stopnicki,18.04.1931,635299.2823759856,294834.7763074367
kieleckie,Sosnowiec,18.04.1931,509862.9063532871,268138.14861095353
kieleckie,sandomierski,18.04.1931,675016.5450579372,308778.5998410526
kieleckie,radomski,18.04.1931,641609.5699925809,398117.97408181906
wołyńskie,kostopolski,18.04.1931,1032414.3105171624,373974.19777309493
warszawskie,włocławski,18.04.1931,503119.70042451675,516264.4356224417
wołyńskie,horochowski,18.04.1931,909388.4446367371,318018.61955839116
warszawskie,warszawski,18.04.1931,636516.6518037162,490632.65209765395
wołyńskie,dubieński,18.04.1931,966324.975133276,300993.03044749453
warszawskie,sochaczewski,18.04.1931,588701.591604868,491477.8417141979
kieleckie,włoszczowski,18.04.1931,561840.5596860007,322888.06796854635
warszawskie,skierniewicki,18.04.1931,583225.3881268096,449469.3633570113
wołyńskie,łucki,18.04.1931,954466.6183394007,358445.64915752877
lwowskie,liski,18.04.1931,750387.2249294777,165491.3525001952
wołyńskie,lubomelski,18.04.1931,844347.0512757379,400694.01670700277
wołyńskie,krzemieniecki,18.04.1931,990625.2410899646,256577.3016271502
lwowskie,krośnieński,18.04.1931,695276.0993721527,197572.788078952
wołyńskie,kowelski,18.04.1931,901816.1489954945,401122.9091479215
lwowskie,łańcucki,18.04.1931,737992.9428376195,262941.9334230524
lwowskie,Lwów,18.04.1931,860910.1472010978,231227.07549725694
lwowskie,lwowski,18.04.1931,863678.4127292848,224911.33932368725
lwowskie,lubaczowski,18.04.1931,795491.2653840636,270013.38372317486
lwowskie,przeworski,18.04.1931,745991.7253658129,245536.54153781352
lwowskie,przemyski,18.04.1931,768182.3578047354,219437.32187580984
lwowskie,niżański,18.04.1931,723847.9609331082,292807.15020179
lwowskie,mościski,18.04.1931,801088.0400713279,220127.22340350237
kieleckie,częstochowski,18.04.1931,503429.3079221661,332043.1746774816
kieleckie,Częstochowa,18.04.1931,508843.8283765302,327104.7167978957
kieleckie,będziński,18.04.1931,513634.6518042669,277496.51877144765
kieleckie,konecki,18.04.1931,598057.0774053102,365991.37651628
kieleckie,kielecki,18.04.1931,616901.5403238572,337535.18466400285
kieleckie,jędrzejowski,18.04.1931,588962.668812968,310010.1172132545
kieleckie,iłżecki,18.04.1931,666875.1712924007,364216.7032650389
warszawskie,płocki,18.04.1931,560100.7170754891,525697.9417909423
kieleckie,miechowski,18.04.1931,579720.9637081386,270901.7011769719
warszawskie,nieszawski,18.04.1931,476739.34028237074,530764.945528393
kieleckie,kozienicki,18.04.1931,675244.7157732875,409297.4346195173
warszawskie,mławski,18.04.1931,581592.5573167927,580217.5791402038
warszawskie,radzymiński,18.04.1931,663895.8531711937,510573.5723437475
krakowskie,pilzneński,18.04.1931,665363.5604675296,236570.2354425452
warszawskie,pułtuski,18.04.1931,640610.9533060769,533038.8419773002
warszawskie,przasnyski,18.04.1931,628471.1486084436,590069.6737112353
warszawskie,płoński,18.04.1931,595002.0822758207,526364.611364201
poznańskie,wągrowiecki,18.04.1931,383181.37528543983,551024.0833649684
lwowskie,dobromilski,18.04.1931,760399.358538869,199686.0579413922
poznańskie,śremski,18.04.1931,365615.05786725535,475636.43311704247
warszawskie,sierpecki,18.04.1931,557740.4487951729,556242.273903954
lwowskie,brzozowski,18.04.1931,723701.725075028,212663.34514165233
warszawskie,rypiński,18.04.1931,528169.8302728692,576117.1800646298
krakowskie,ropczycki,18.04.1931,684325.5932203382,246244.698990213
lwowskie,bóbrecki,18.04.1931,881615.3146539734,200664.06279439694
warszawskie,rawski (Rawa Mazowiecka),18.04.1931,590106.0117002391,425615.62858068536
poznańskie,wrzesiński,18.04.1931,406526.43715870014,491169.9568148454
lwowskie,jaworowski,18.04.1931,810444.8207356783,242618.99430961796
krakowskie,żywiecki,18.04.1931,513355.2660529575,192173.05833211818
poznańskie,wolsztyński,18.04.1931,303433.5446598418,475650.83708409243
lwowskie,jarosławski,18.04.1931,766128.8588401271,250038.61498784446
krakowskie,wielicki,18.04.1931,577925.1050941474,235253.26287288681
lwowskie,gródecki,18.04.1931,836798.4784703635,232321.24542849424
krakowskie,wadowicki,18.04.1931,538971.4802226395,222067.2377313943
lwowskie,drohobycki,18.04.1931,826216.991094035,171145.2995888883
krakowskie,tarnowski,18.04.1931,644052.0135474982,235534.0027157525
poznańskie,żniński,18.04.1931,410304.50552395656,548221.0898403054
poznańskie,wyrzyski,18.04.1931,389739.784414989,594279.729227569
warszawskie,błoński,18.04.1931,608623.7079463343,469746.09612807457
łódzkie,piotrkowski,18.04.1931,539287.1826155172,388260.92892165156
warszawskie,kutnowski,18.04.1931,524336.6490842834,486868.100461502
łódzkie,Łódź,18.04.1931,531604.2741386892,433252.1684739163
warszawskie,grójecki,18.04.1931,632719.8136004115,444736.48711473506
warszawskie,gostyniński,18.04.1931,541718.4113435504,506150.28717222926
warszawskie,ciechanowski,18.04.1931,609390.0714334775,558221.9049238373
poznańskie,poznański,18.04.1931,357077.1095492927,508041.18700238207
warszawskie,miński,18.04.1931,681244.7561780702,479916.69247542083
krakowskie,limanowski,18.04.1931,592704.34985696,202051.12097272402
warszawskie,makowski (Maków Mazowiecki),18.04.1931,648714.268657046,565869.4267212665
krakowskie,Kraków,18.04.1931,567454.0552374695,243622.91315574452
warszawskie,łowicki,18.04.1931,560582.4180737993,470184.04714578704
krakowskie,krakowski,18.04.1931,562656.9180839424,242161.18058738575
warszawskie,lipnowski,18.04.1931,509835.66075886664,553521.267688311
krakowskie,jasielski,18.04.1931,675747.9872238385,203998.21048309465
poznańskie,strzeleński,18.04.1931,450667.125143348,528204.8779611825
krakowskie,nowosądecki,18.04.1931,624853.5413689873,187485.84122068319
poznańskie,rawicki,18.04.1931,359456.91225497174,421661.9287724273
krakowskie,myślenicki,18.04.1931,566273.3428910048,215936.61289738122
krakowskie,mielecki,18.04.1931,670324.7191588823,271999.50018567545
poznańskie,średzki,18.04.1931,383687.9089965149,490174.2484274777
krakowskie,makowski (Maków Podhalański),18.04.1931,550937.384073389,200491.5383862439
poznańskie,śmigielski,18.04.1931,326096.3303358012,469496.5236467404
poznańskie,szubiński,18.04.1931,413790.66452809965,569669.8872110067
poznańskie,szamotulski,18.04.1931,324130.4158717695,529630.8915464287
krakowskie,oświęcimski,18.04.1931,524201.2371441206,236422.75377582625
krakowskie,nowotarski,18.04.1931,573645.4343195938,173565.1448007771
łódzkie,radomszczański,18.04.1931,531707.6932197337,351944.59556394554
łódzkie,wieluński,18.04.1931,468781.5977371883,374918.7944736591
łódzkie,turecki,18.04.1931,476220.0259213132,450733.36367942934
łódzkie,słupecki,18.04.1931,430471.9209956495,490243.68081576645
łódzkie,sieradzki,18.04.1931,479764.7934749345,413816.22319915786
wileńskie,wileńsko-trocki,18.04.1931,906401.3792400885,767148.7848725948
krakowskie,bocheński,18.04.1931,595549.4695646096,231003.5811430722
krakowskie,bialski (Biała Krakowska),18.04.1931,510918.68344649766,219619.87786824573
poznańskie,obornicki,18.04.1931,356279.42131664936,537575.9109574314
poznańskie,nowotomyski,18.04.1931,302401.3442305784,503450.1123970157
krakowskie,dąbrowski,18.04.1931,640536.1910637275,263422.55018977216
poznańskie,mogileński,18.04.1931,429043.4600864177,531495.1209117364
krakowskie,chrzanowski,18.04.1931,531774.371819881,252382.7586713818
poznańskie,pleszewski,18.04.1931,419546.858382997,444993.01649424824
krakowskie,brzeski (Brzesko),18.04.1931,622222.6259586255,235110.51057228845
poznańskie,ostrzeszowski,18.04.1931,427924.80445189495,397141.0324660843
poznańskie,ostrowski (Ostrów Wielkopolski),18.04.1931,427465.2188753361,417947.7361519191
krakowskie,grybowski,18.04.1931,639953.2133958706,197731.73703737056
poznańskie,odolanowski,18.04.1931,408132.2949228598,412124.2307116806
krakowskie,gorlicki,18.04.1931,658001.6279841568,197043.26901224075
nowogródzkie,szczuczyński (woj. nowogródzkie),18.04.1931,880133.5931624661,660465.0084566183
wileńskie,dziśnieński,18.04.1931,1062791.892770659,853695.6836533353
wileńskie,brasławski,18.04.1931,1011165.8720126292,886686.9633013871
wileńskie,wilejski,18.04.1931,1018601.0420305114,775936.6372038763
wileńskie,postawski,18.04.1931,1014917.8011537598,826312.9467074535
wileńskie,oszmiański,18.04.1931,955290.2507671092,747221.68979654
pomorskie,morski,18.04.1931,451517.17510741897,749564.0460928999
wileńskie,święciański,18.04.1931,961053.4752766242,828283.7615660902
poznańskie,grodziski,18.04.1931,325505.5471237557,494713.6747871159
wileńskie,Wilno,18.04.1931,905289.7173683855,776545.8828590177
poznańskie,Poznań,18.04.1931,358966.9191996795,506452.9406243501
łódzkie,kolski,18.04.1931,479622.79977862106,486108.17714635184
łódzkie,kaliski,18.04.1931,445766.86884470674,435865.1105554094
łódzkie,brzeziński,18.04.1931,552902.8629629635,434223.24193490774
łódzkie,łódzki,18.04.1931,530630.0197232111,430430.5160397086
łódzkie,łęczycki,18.04.1931,513734.9389462336,462622.16191311646
łódzkie,łaski,18.04.1931,508144.1150147885,407295.059171081
łódzkie,koniński,18.04.1931,447943.19216919213,478690.6370585294
poznańskie,jarociński,18.04.1931,397179.937461622,460524.40510650916
poznańskie,inowrocławski,18.04.1931,454716.68189009366,556138.2643632684
poznańskie,Inowrocław,18.04.1931,449804.28231577156,546762.674550835
poznańskie,krotoszyński,18.04.1931,396820.4243563844,431888.0545212679
poznańskie,koźmiński,18.04.1931,385259.5504169132,440885.2607499555
poznańskie,kościański,18.04.1931,346119.80738885637,468936.1288547115
poznańskie,kępiński,18.04.1931,428291.36626614793,377162.6727699699
poznańskie,międzychodzki,18.04.1931,297799.54531848885,529767.1366277805
poznańskie,leszczyński,18.04.1931,332587.0625529102,447578.7193205235
nowogródzkie,wołożyński,18.04.1931,981977.3400041432,704416.1487535775
wileńskie,mołodeczański,18.04.1931,1013160.6436534259,733851.6244309369
