region,district,territory_date,centroid_lon,centroid_lat
stanisławowskie,kosowski (Kosów Huculski),20.02.1921,937322.4153047516,44009.19023461537
poleskie,koszyrski,20.02.1921,911874.8251362111,444248.13137827476
poznańskie,kościański,20.02.1921,346119.80738816696,468936.1288551445
pomorskie,kościerski,20.02.1921,440678.4448308718,687869.3641217382
wołyńskie,kowelski,20.02.1921,901816.1489958271,401122.90914779773
kieleckie,kozienicki,20.02.1921,675244.7157728494,409297.434619657
poznańskie,koźmiński,20.02.1921,385259.5504157165,440885.2607497498
krakowskie,krakowski,20.02.1921,562674.8267537529,245784.8808777253
krakowskie,Kraków,20.02.1921,567454.0552378759,243622.91315488782
lubelskie,krasnostawski,20.02.1921,778352.6930837147,349447.12465352245
lwowskie,krośnieński,20.02.1921,695276.0993720639,197572.78807759465
poznańskie,krotoszyński,20.02.1921,396820.42435755715,431888.0545217043
śląskie,Królewska Huta,23.06.1922,498061.32209705526,270022.0572219762
wołyńskie,krzemieniecki,20.02.1921,990625.2410902438,256577.30162741677
warszawskie,kutnowski,20.02.1921,524336.6490847624,486868.10046145134
poznańskie,leszczyński,20.02.1921,332587.0625526325,447578.7193209157
nowogródzkie,lidzki,20.02.1921,893073.9149992933,684787.1767873171
krakowskie,limanowski,20.02.1921,592704.3498571306,202051.1209728029
warszawskie,lipnowski,20.02.1921,509835.6607588722,553521.2676884255
lwowskie,liski,20.02.1921,750387.2249295586,165491.35250049378
lubelskie,lubartowski,20.02.1921,749713.5636105255,406882.9305294048
pomorskie,lubawski,20.02.1921,542924.9809401123,620252.7552108552
lubelskie,lubelski,20.02.1921,750666.1071111099,372383.29159277806
lubelskie,Lublin,20.02.1921,749197.4245068494,381206.32868705573
śląskie,lubliniecki,20.02.1921,487640.3706258572,308678.07368777704
wołyńskie,lubomelski,20.02.1921,844347.0512761432,400694.0167083464
lwowskie,lwowski,20.02.1921,863678.4127291697,224911.33932368617
lwowskie,Lwów,20.02.1921,860910.1472010978,231227.07549725694
lwowskie,łańcucki,20.02.1921,737992.9428373444,262941.93342343817
łódzkie,łaski,20.02.1921,508144.11501417187,407295.05917092884
łódzkie,łęczycki,20.02.1921,513734.9389468053,462622.16191222897
białostockie,łomżyński,20.02.1921,712397.6170526734,584827.0269398266
warszawskie,łowicki,20.02.1921,560582.4180741144,470184.04714629374
łódzkie,łódzki,20.02.1921,530630.019725779,430430.5160378927
łódzkie,Łódź,20.02.1921,531604.2741385094,433252.1684750671
wołyńskie,łucki,20.02.1921,953110.881842838,359399.73689790635
lubelskie,łukowski,20.02.1921,724908.5862513437,447553.82167690643
poleskie,łuniniecki,20.02.1921,1040995.4454021748,513851.50573303323
warszawskie,makowski (Maków Mazowiecki),20.02.1921,648714.2686567408,565869.4267152252
kieleckie,miechowski,20.02.1921,579720.9637090152,270901.70117665257
krakowskie,mielecki,20.02.1921,670324.7191588937,271999.5001856789
poznańskie,międzychodzki,20.02.1921,297799.54531876906,529767.136627919
warszawskie,miński,20.02.1921,681244.7561849175,479916.6924757658
warszawskie,mławski,20.02.1921,581592.5573177414,580217.5791395918
poznańskie,mogileński,20.02.1921,429043.4600865391,531495.1209117523
lwowskie,mościski,20.02.1921,801088.0400702659,220127.2234066426
krakowskie,myślenicki,20.02.1921,558296.1954101247,206380.16582995254
stanisławowskie,nadwórniański,20.02.1921,908487.9374395842,82536.99864986108
warszawskie,nieszawski,20.02.1921,476739.3402833669,530764.94552917
nowogródzkie,nieświeski,20.02.1921,1007769.2774963272,616760.9375493223
lwowskie,niżański,20.02.1921,723847.9609332617,292807.1502023553
nowogródzkie,wołożyński,20.02.1921,959917.797253112,655804.2270781477
krakowskie,nowosądecki,20.02.1921,624853.5413693241,187485.84122058458
krakowskie,nowotarski,20.02.1921,578212.2070320571,172348.807215922
poznańskie,nowotomyski,20.02.1921,302401.3442311655,503450.112397001
poznańskie,obornicki,20.02.1921,356279.42131613527,537575.9109574863
poznańskie,odolanowski,20.02.1921,408132.29492193856,412124.2307121868
kieleckie,olkuski,20.02.1921,547790.8023638536,277336.70249945036
kieleckie,opatowski,20.02.1921,668094.6090662403,334198.0180610445
kieleckie,opoczyński,20.02.1921,590790.9453929993,393467.37846024527
wołyńskie,ostrogski,20.02.1921,1029713.8556185141,305381.4628303219
białostockie,ostrołęcki,20.02.1921,668764.7022615266,588008.7373815228
poznańskie,ostrowski (Ostrów Wielkopolski),20.02.1921,427465.21887466265,417947.7361519109
białostockie,ostrowski (Ostrów Mazowiecka),20.02.1921,697442.5827920692,548263.0651922824
poznańskie,ostrzeszowski,20.02.1921,427924.80445352517,397141.03246702015
wileńskie,oszmiański,14.04.1922,958117.7525485541,747180.1138272415
krakowskie,oświęcimski,20.02.1921,524201.2371439048,236422.75377596426
stanisławowskie,peczeniżyński,20.02.1921,934336.9661911175,79135.56266128262
krakowskie,pilzneński,20.02.1921,665363.5604675061,236570.23544264707
kieleckie,pińczowski,20.02.1921,608346.4741257388,278569.9978966065
poleskie,piński,20.02.1921,978703.0774073666,477367.3888206229
łódzkie,piotrkowski,20.02.1921,539287.1826153182,388260.92892181716
poznańskie,pleszewski,20.02.1921,419546.85838291195,444993.0164945055
warszawskie,płocki,20.02.1921,560100.7170750585,525697.9417903282
warszawskie,płoński,20.02.1921,595002.0822755143,526364.6113643623
krakowskie,podgórski,20.02.1921,562617.4823717938,234181.6272315831
tarnopolskie,podhajecki,20.02.1921,948538.784794251,173416.5462157071
m. Stołeczne Warszawa,Warszawa,20.02.1921,638021.7478294299,487625.31673679105
poznańskie,Poznań,20.02.1921,358966.91920302564,506452.94062790985
poznańskie,poznański wschodni,20.02.1921,369112.5204421083,512647.6429805717
poznańskie,poznański zachodni,20.02.1921,345096.694645556,503455.7802936038
poleskie,prużański,20.02.1921,873647.4937577411,534618.5974825311
warszawskie,przasnyski,20.02.1921,628471.1486139952,590069.6737102922
lwowskie,przemyski,20.02.1921,768182.3578037733,219437.3218771237
tarnopolskie,przemyślański,20.02.1921,901800.7552569959,216454.07651004216
lwowskie,przeworski,20.02.1921,745991.7253658897,245536.54153901496
śląskie,pszczyński,23.06.1922,495145.26498555084,245038.7740361105
pomorskie,pucki,20.02.1921,455594.9646175518,761009.7113626645
lubelskie,puławski,20.02.1921,712299.8006498917,386435.3978747935
warszawskie,pułtuski,20.02.1921,640610.953305803,533038.8419773626
kieleckie,radomski,20.02.1921,641609.5699922469,398117.97408099636
łódzkie,radomszczański,20.02.1921,531707.6932191537,351944.5955645343
tarnopolskie,radziechowski,20.02.1921,909150.1277245161,280470.58678846364
warszawskie,radzymiński,20.02.1921,663895.8531709325,510573.5723439612
lubelskie,radzyński,20.02.1921,761728.6569785757,447410.0975415266
poznańskie,rawicki,20.02.1921,359456.91225452966,421661.9287716179
lwowskie,rawski (Rawa Ruska),20.02.1921,832609.234354925,276867.03611352073
warszawskie,rawski (Rawa Mazowiecka),20.02.1921,590106.0116996608,425615.6285802573
stanisławowskie,rohatyński,20.02.1921,907766.3203592729,178024.79850267316
krakowskie,ropczycki,20.02.1921,684325.5932203026,246244.69899018167
wołyńskie,rówieński,20.02.1921,1030997.4260307392,356441.09320807585
lwowskie,rudecki,20.02.1921,830899.6116250551,204665.7938936065
śląskie,rybnicki,23.06.1922,466462.65102463134,244657.72982055682
warszawskie,rypiński,20.02.1921,528169.8302725422,576117.1800646306
lwowskie,rzeszowski,20.02.1921,715797.3929989267,243469.79516631187
lwowskie,samborski,20.02.1921,807548.0122056021,192372.80535758554
kieleckie,sandomierski,20.02.1921,675016.5450579958,308778.59984095703
lwowskie,sanocki,20.02.1921,720368.9258280672,184592.17801364188
wołyńskie,sarneński,20.02.1921,1026914.5527015603,421380.51964361104
białostockie,sejneński,20.02.1921,784543.0062764785,695557.0414646314
pomorskie,sępoleński,20.02.1921,401857.903643654,620008.9097929088
lubelskie,siedlecki,20.02.1921,725507.0449846401,482123.5125250176
łódzkie,sieradzki,20.02.1921,479764.7934754351,413816.22319906787
warszawskie,sierpecki,20.02.1921,557740.4487954474,556242.273904306
tarnopolskie,skałacki,20.02.1921,1011191.0893796573,194660.01108217737
warszawskie,skierniewicki,20.02.1921,583225.3881259325,449469.3633567335
stanisławowskie,skolski,20.02.1921,823816.5339176523,130134.7270928717
nowogródzkie,słonimski,20.02.1921,924562.1497790518,607139.5109260033
