Region;District;Pszenica;Øyto;JÍczmieÒ;Owies;Gryka;Groch;Ziemniaki jadalne;Ziemniaki fabryczne;Siano koniczyny;Siano ≥πkowe;S≥oma;koÒ roboczy (cena minimalna);koÒ roboczy (cena maksymalna);krowa dojna (cena minimalna);krowa dojna (cena maksymalna);Unnamed: 17;Unnamed: 18
BIA£OSTOCKIE;AUGUSTOWSKI;53,67;45,63;42,14;44;45,60;47,56;10,95;9,00;11,89;9,63;6,00;259.0;405.0;311.0;498.0;;
BIA£OSTOCKIE;BIA£OSTOCKI;48,33;41,3;35,79;40,94;38,40;39,00;10,99;9,00;11,34;9,11;4,75;213.0;471.0;307.0;575.0;;
BIA£OSTOCKIE;BIA£YSTOK (MIASTO);;;;;;;;;;;;;;;;;
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);53,89;42,4;39,13;42,6;34,33;39,83;11,6;9,00;16,20;10,33;5,80;215.0;450.0;325.0;535.0;;
BIA£OSTOCKIE;GRODZIE—SKI;52,53;45,79;42,68;45,69;43,63;48,29;11,02;8,27;14,11;10,35;5,94;279.0;534.0;295.0;500.0;;
BIA£OSTOCKIE;KOLNE—SKI;52,2;38,1;37,44;38,25;40,33;46,13;9,1;7,50;8,90;7,16;4,68;255.0;505.0;320.0;520.0;;
BIA£OSTOCKIE;OSTROWSKI (OSTR”W MAZOWIECKA);50,62;38,27;37,54;36,71;42,57;57,11;12,19;11,75;11,09;8,70;4,25;234.0;531.0;306.0;638.0;;
BIA£OSTOCKIE;OSTRO£ CKI;54,71;39,1;38,43;39,53;43,79;48,47;11,52;9,40;10,94;7,32;4,12;240.0;479.0;311.0;540.0;;
BIA£OSTOCKIE;SOK”LSKI;53,13;44,5;41,2;44,4;40,14;44,30;10,63;9,00;9,42;7,40;4,54;285.0;515.0;300.0;480.0;;
BIA£OSTOCKIE;SUWALSKI;55;43,2;41,88;43;45,00;45,71;12,78;8,00;12,07;10,25;6,17;235.0;405.0;300.0;440.0;;
